,user_id,reading_session,article_id,scroll_range,max_offset,ratio,displayedWords,reading_duration,numberOfWords,numOfScroll,freScroll,reading_speed,label
525,385.0,2c9c06d9-eddf-46a9-bc19-bf55b4f241aa,42799284.0,7473.0,3947.0,0.5282,1564.0002,84.0,2961,180.0,2.142857143,1117.143,0
205,128.0,2e687d20-677c-47dd-8914-91dcf7ec9562,36524213.0,23272.0,7023.0,0.3018,2502.5256,29.0,8292,171.0,5.896551724,5177.639172,0
202,127.0,a2880231-3c28-4abd-9ce6-2fa4342203d9,36672001.0,3553.0,1980.0,0.5573,1043.2656,62.0,1872,216.0,3.483870968,1009.6118710000001,0
528,385.0,98f10109-a707-4dc0-a65f-ed55a0f4e5f4,42820246.0,5655.0,4131.0,0.7305,1887.612,81.0,2584,171.0,2.111111111,1398.2311109999998,0
529,385.0,98f10109-a707-4dc0-a65f-ed55a0f4e5f4,42821938.0,5625.0,3804.0,0.6763,1678.5766,39.0,2482,183.0,4.692307692,2582.425538,0
530,385.0,98f10109-a707-4dc0-a65f-ed55a0f4e5f4,42825431.0,9972.0,5419.0,0.5434,1687.257,70.0,3105,246.0,3.5142857139999997,1446.220286,0
531,385.0,98f10109-a707-4dc0-a65f-ed55a0f4e5f4,42826028.0,4449.0,2925.0,0.6575,1620.08,51.0,2464,239.0,4.68627451,1905.9764710000002,0
533,385.0,98f10109-a707-4dc0-a65f-ed55a0f4e5f4,42827210.0,7776.0,4280.0,0.5504,1613.2224,57.0,2931,218.0,3.8245614039999998,1698.128842,0
231,250.0,405d0dc8-3494-4b2b-a840-e2720211084a,36721892.0,3900.0,2235.0,0.5731,1150.2117,86.0,2007,200.0,2.325581395,802.4732791,0
235,250.0,5d068e98-43c8-4ff9-8026-9221f89e4a26,36780715.0,12582.0,10917.0,0.8677,2560.5827,98.0,2951,150.0,1.530612245,1567.703694,0
488,376.0,533adaa5-a776-4a32-80fc-847c19d11d49,40635443.0,8124.0,2769.0,0.3408,917.4336,71.0,2692,227.0,3.1971830989999996,775.296,0
236,250.0,5d068e98-43c8-4ff9-8026-9221f89e4a26,36780715.0,12582.0,10917.0,0.8677,2560.5827,68.0,2951,150.0,2.2058823530000002,2259.337676,0
452,303.0,ebb6b017-839d-4b36-b9de-841f25f3ab06,37855207.0,6744.0,2605.0,0.3863,903.5557,46.0,2339,299.0,6.5,1178.550913,0
263,250.0,e44e63dc-0d52-4745-a017-2523312d33b7,36763208.0,3255.0,1590.0,0.4885,1728.8015,19.0,3539,51.0,2.6842105259999998,5459.373157999999,0
262,250.0,d08962da-27cc-45f8-a21e-c9fb8dcb8fcb,36756379.0,3441.0,1776.0,0.5161,955.8172,48.0,1852,145.0,3.020833333,1194.7715,0
456,304.0,311448ec-24bc-42e0-8c5d-d7d4b1880047,37567866.0,6396.0,4176.0,0.6529,1312.329,43.0,2010,202.0,4.697674419,1831.1567440000001,0
261,250.0,cbb60f43-967b-4338-a3df-4b8834f02906,36712690.0,4368.0,2703.0,0.6188,1152.8244,101.0,1863,317.0,3.138613861,684.8461782,0
260,250.0,cbb60f43-967b-4338-a3df-4b8834f02906,36711908.0,5787.0,4122.0,0.7123,1507.9391,90.0,2117,202.0,2.244444444,1005.292733,0
460,304.0,9d5f18cf-1fb3-4267-9efa-3d59f40e8143,37321656.0,14252.0,2740.0,0.1923,552.4779,25.0,2873,175.0,7.0,1325.94696,0
255,250.0,bc43f889-0333-48d8-b17e-3918ca1e1ef8,36659900.0,12480.0,2935.0,0.2352,690.312,42.0,2935,251.0,5.976190476,986.16,0
254,250.0,bc43f889-0333-48d8-b17e-3918ca1e1ef8,36645822.0,7698.0,5646.0,0.7334,1588.5444,51.0,2166,275.0,5.392156862999999,1868.8757649999998,0
468,356.0,24439a95-58bc-4e9a-a174-2e5d7f9588a8,40483774.0,5019.0,3195.0,0.6366,1169.4342,20.0,1837,145.0,7.25,3508.3026,0
248,250.0,8ce51d10-7fa5-452f-88eb-02618369e008,36702336.0,2979.0,1314.0,0.4411,835.4434,47.0,1894,166.0,3.531914894,1066.5234890000002,0
246,250.0,8ce51d10-7fa5-452f-88eb-02618369e008,36701273.0,3831.0,2166.0,0.5654,1023.9394,67.0,1811,96.0,1.4328358209999998,916.9606567,0
243,250.0,84f7d78b-767a-4b1d-98e4-dd7d22c26f50,36672591.0,6948.0,5283.0,0.7604,1777.8152,51.0,2338,194.0,3.803921569,2091.547294,0
242,250.0,77c0d629-ce2a-4103-8157-fccc93d62d62,36712040.0,6180.0,4515.0,0.7306,1578.8266,67.0,2161,304.0,4.5373134330000005,1413.874567,0
482,364.0,205d605e-7b4a-4e70-9aba-e136f92a4c87,40592808.0,7836.0,6168.0,0.7871,2310.1385,26.0,2935,84.0,3.230769231,5331.088846,0
237,250.0,5d068e98-43c8-4ff9-8026-9221f89e4a26,36781770.0,5088.0,3423.0,0.6728,1435.7552,41.0,2134,295.0,7.195121951,2101.105171,0
486,364.0,39929020-e031-4b4b-b8b6-4a29dd2f3e24,40606244.0,3237.0,1569.0,0.4847,1067.3094,59.0,2202,370.0,6.271186441,1085.39939,0
2,1.0,08988275-1dab-44b9-82c1-a126c16465e3,36321394.0,9356.0,8246.0,0.8814,2281.0632,9.0,2588,19.0,2.111111111,15207.088,0
